Algorithm,Mean Fitness,Std Dev Fitness,Mean Exec Time (s),Overall Best Fitness,Mutation Op,Crossover Op,Selection Op,PopSize,NumGen,MutRate
GA_Config_1_MutRate_0.05,0.0770475129917,0.024378125167686872,5.681365346908569,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,50,100,0.05
GA_Config_1_MutRate_0.15,0.05714285714285552,0.0,6.0721189975738525,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,50,100,0.15
GA_Config_1_MutRate_0.25,0.06709518506727775,0.019904655848844478,6.308688068389893,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,50,100,0.25
GA_Config_1_PopSize_30,0.08699984091612224,0.024378125167686872,3.4848071098327638,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,30,100,0.1
GA_Config_1_PopSize_75,0.07704751299169998,0.024378125167686875,9.021111631393433,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,75,100,0.1
GA_Config_1_NumGen_75,0.05714285714285552,0.0,4.4327232837677,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,50,75,0.1
GA_Config_1_NumGen_150,0.0770475129917,0.024378125167686872,8.835685443878173,0.05714285714285552,mutate_swap_constrained,crossover_one_point_prefer_valid,selection_tournament_variable_k,50,150,0.1
GA_Config_4_MutRate_0.05,0.06709518506727775,0.019904655848844478,8.117103385925294,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,50,100,0.05
GA_Config_4_MutRate_0.15,0.05714285714285552,0.0,8.89291753768921,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,50,100,0.15
GA_Config_4_MutRate_0.25,0.05714285714285552,0.0,8.681602382659912,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,50,100,0.25
GA_Config_4_PopSize_30,0.05714285714285552,0.0,4.95669641494751,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,30,100,0.1
GA_Config_4_PopSize_75,0.05714285714285552,0.0,12.932132005691528,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,75,100,0.1
GA_Config_4_NumGen_75,0.05714285714285552,0.0,6.283347272872925,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,50,75,0.1
GA_Config_4_NumGen_150,0.05714285714285552,0.0,12.319916486740112,0.05714285714285552,mutate_targeted_player_exchange,crossover_uniform_prefer_valid,selection_tournament_variable_k,50,150,0.1
